#Version=1.29F
#Management No,Class,Variable ID,Variable Name,Unit,Upper And Lower Limit Type (0: No/1 : Yes),Lower Limit Value,Upper Limit Value,Data Type,Data Count,Variable Length (0: Fixed / 1: Variable),SECS Data Type,Conversion Option,Value Type (0: Fixed / 1: Setup / 2: Default),Value,CPU Number,Device Type,Device No,Cache No,Comment
0,SV,10052,IRA02_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10242,0,IRA02_SV
0,SV,10053,IRA03_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10244,0,IRA03_SV
0,SV,10054,IRA04_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10246,0,IRA04_SV
0,SV,10055,IRA05_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10248,0,IRA05_SV
0,SV,10056,IRA06_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10250,0,IRA06_SV
0,SV,10057,IRA07_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10252,0,IRA07_SV
0,SV,10058,IRA08_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10254,0,IRA08_SV
0,SV,10059,IRA09_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10256,0,IRA09_SV
0,SV,10060,IRA10_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10258,0,IRA10_SV
0,SV,10061,IRA11_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10260,0,IRA11_SV
0,SV,10062,IRA12_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10262,0,IRA12_SV
0,SV,10063,IRB01_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10320,0,IRB01_SV
0,SV,10064,IRB02_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10322,0,IRB02_SV
0,SV,10065,IRB03_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10324,0,IRB03_SV
0,SV,10066,IRB04_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10326,0,IRB04_SV
0,SV,10067,IRB05_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10328,0,IRB05_SV
0,SV,10068,IRB06_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10330,0,IRB06_SV
0,SV,10069,IRB07_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10332,0,IRB07_SV
0,SV,10070,IRB08_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10334,0,IRB08_SV
0,SV,10071,IRB09_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10336,0,IRB09_SV
0,SV,10072,IRB10_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10338,0,IRB10_SV
0,SV,10073,IRB11_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10340,0,IRB11_SV
0,SV,10074,IRB12_SV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10342,0,IRB12_SV
0,SV,10075,LeftIRSPEED,,0,0,0,F4,1,0,F4,0,1,0,1,D,10380,0,LeftIRSPEED
0,SV,10076,RightIRSPEED,,0,0,0,F4,1,0,F4,0,1,0,1,D,10382,0,RightIRSPEED
0,SV,10077,PanelWidth,,0,0,0,F4,1,0,F4,0,1,0,1,D,10392,0,PanelWidth
0,SV,10078,PanelLength,,0,0,0,F4,1,0,F4,0,1,0,1,D,10390,0,PanelLength
0,SV,10079,LeftIRSPEEDPV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10360,0,LeftIRSPEEDPV
0,SV,10080,RightIRSPEEDPV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10362,0,RightIRSPEEDPV
0,ECV,20001,MachineName,,0,0,0,ASCII,20,1,ASCII,0,0,GBOV-79,1,D,9360,0,MachineName
0,ECV,20002,MDLN,,0,0,0,ASCII,10,1,ASCII,0,0,1.29F,1,D,9360,0,MachineName
0,SV,60002,CTROLMODE,,0,0,0,U2,1,0,U2,0,1,0,1,D,9105,0,1=Offline 2=Online Local 3=Online Remote
0,SV,60003,EQST,,0,0,0,U2,1,0,U2,0,1,0,1,D,9099,0,1=RUN 2=IDLE 3=DOWN 4=PM
0,SV,60004,EQOPMODE,,0,0,0,U2,1,0,U2,0,1,0,1,D,9578,0,1=AUTO 2=MANUAL
0,SV,60005,PPID_USING,,0,0,0,ASCII,20,1,ASCII,0,1,0,1,D,9400,0,PPID_USING
0,SV,60006,PPID_MODIFY,,0,0,0,ASCII,20,1,ASCII,0,1,0,1,D,9580,0,PPID_MODIFY
0,SV,60007,LOTID,,0,0,0,ASCII,20,1,ASCII,0,1,0,1,D,9320,0,LOTID
0,SV,60008,QTY,,0,0,0,F4,1,0,F4,0,1,0,1,D,9556,0,QTY
0,SV,60009,FROMSTATUS,,0,0,0,ASCII,2,1,ASCII,0,1,0,1,D,9590,0,1=off 2=on 3=Flash
0,SV,60010,TOSTATUS,,0,0,0,ASCII,2,1,ASCII,0,1,0,1,D,9591,0,1=off 2=on 3=Flash
